,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS_Panel,Res_Per_Inches,Cpu_Brand,HDD,SSD
228,Asus,Notebook,8,Nvidia,Windows,2.69,47472.48,0,0,127.33567457123111,Intel Core i5,500,256
229,HP,Notebook,8,AMD,Windows,1.9,67612.31999999999,0,0,141.21199808219862,Intel Core i7,1000,0
230,Asus,Notebook,4,Intel,Windows,2.37,21258.1872,0,0,100.45466986113651,Intel Core i3,1000,0
231,HP,Notebook,4,AMD,Windows,2.1,17582.399999999998,0,0,100.45466986113651,AMD Processor,500,0
232,Lenovo,Gaming,16,Nvidia,Windows,3.2,79866.72,0,1,141.21199808219862,Intel Core i7,1000,256
233,Dell,Notebook,8,Intel,Windows,1.6,45767.52,0,0,157.3505121487356,Intel Core i5,0,256
234,Acer,2 in 1 Convertible,8,Intel,Windows,1.6,36709.92,1,1,165.6321180513006,Intel Core i5,0,256
235,Dell,Notebook,16,AMD,No OS/Linux/Chrome/Android,2.36,47898.72,0,0,141.21199808219862,Intel Core i7,0,256
236,Acer,Notebook,4,Intel,No OS/Linux/Chrome/Android,2.1,20779.2,0,0,100.45466986113651,Intel Core i3,1000,0
237,Asus,Notebook,4,AMD,Windows,2.2,30636.0,0,0,141.21199808219862,AMD Processor,1000,128
239,Acer,Gaming,8,Nvidia,Windows,2.5,45074.88,0,1,141.21199808219862,Intel Core i5,0,256
240,Lenovo,Notebook,8,Intel,Windows,2.2,31381.92,0,0,100.45466986113651,Intel Core i3,0,128
241,Asus,Notebook,8,Nvidia,Windows,2.1,61005.6,0,0,127.33567457123111,Intel Core i7,1000,128
242,Asus,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.69,47365.92,0,0,127.33567457123111,Intel Core i7,1000,128
243,Dell,Gaming,8,Nvidia,Windows,2.56,46833.12,0,0,141.21199808219862,Intel Core i5,0,256
244,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.38,57489.12,1,1,158.48253022174808,Intel Core i7,0,256
245,Dell,Notebook,8,AMD,Windows,2.2,52480.8,0,0,141.21199808219862,Intel Core i7,2000,128
246,HP,Notebook,8,Intel,Windows,2.04,29783.52,1,0,100.45466986113651,Intel Core i5,1000,0
247,Asus,Gaming,16,Nvidia,Windows,3.6,159786.72,0,0,127.33567457123111,Intel Core i7,0,256
248,HP,Notebook,4,Intel,Windows,1.49,35964.0,0,1,165.6321180513006,Intel Core i5,500,0
249,Apple,Ultrabook,8,Intel,macOS,1.37,108691.2,0,1,226.98300468106115,Intel Core i5,0,512
250,Dell,2 in 1 Convertible,8,Intel,Windows,2.08,43636.32,1,1,141.21199808219862,Intel Core i7,1000,0
251,Asus,Gaming,16,Nvidia,Windows,4.3,95850.72,0,0,127.33567457123111,Intel Core i7,1000,256
252,Asus,Notebook,4,AMD,Windows,1.68,24988.32,0,0,100.45466986113651,AMD Processor,1000,0
253,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.37,98514.72,1,1,158.48253022174808,Intel Core i7,0,512
254,Acer,Notebook,4,Nvidia,Windows,3.0,37402.56,0,1,127.33567457123111,Intel Core i3,0,256
255,Dell,Ultrabook,8,Intel,Windows,1.41,50562.72,0,0,165.6321180513006,Intel Core i5,0,256
256,HP,Notebook,8,AMD,Windows,1.91,23757.552000000003,0,0,100.45466986113651,AMD Processor,0,128
257,HP,Notebook,16,Nvidia,Windows,2.9,56423.52,0,1,127.33567457123111,Intel Core i7,1000,0
258,MSI,Gaming,16,Nvidia,Windows,4.14,133146.72,0,0,127.33567457123111,Intel Core i7,1000,512
259,Lenovo,2 in 1 Convertible,8,Nvidia,Windows,2.0,90522.72,1,1,141.21199808219862,Intel Core i7,0,512
260,Dell,Notebook,8,AMD,Windows,2.8,60845.76,0,0,127.33567457123111,Intel Core i7,1000,128
261,Lenovo,Notebook,4,Intel,No OS/Linux/Chrome/Android,2.2,23656.32,0,0,141.21199808219862,Intel Core i3,0,256
262,HP,Notebook,4,Intel,Windows,2.1,38468.16,0,1,141.21199808219862,Intel Core i5,500,0
263,Dell,Notebook,4,Intel,Windows,2.18,35004.96,0,0,141.21199808219862,Intel Core i5,1000,0
264,Dell,Notebook,8,AMD,Windows,2.24,30103.2,0,0,141.21199808219862,Intel Core i5,1000,0
265,Dell,2 in 1 Convertible,8,Intel,Windows,2.67,42570.72,1,0,141.21199808219862,Intel Core i5,0,256
266,Asus,2 in 1 Convertible,8,Intel,Windows,1.1,79866.72,1,0,165.6321180513006,Intel Core i7,0,1024
267,Lenovo,Notebook,4,Intel,No OS/Linux/Chrome/Android,2.2,24881.76,0,0,141.21199808219862,Intel Core i5,1000,0
268,HP,Notebook,8,Nvidia,Windows,2.5,54239.04,0,0,127.33567457123111,Intel Core i7,1000,0
269,Lenovo,Notebook,8,Intel,Windows,2.05,46886.4,0,0,141.21199808219862,Intel Core i7,0,256
270,Apple,Ultrabook,8,Intel,macOS,1.37,104370.192,0,1,226.98300468106115,Intel Core i5,0,512
271,Asus,Gaming,16,AMD,Windows,3.2,82530.72,0,0,127.33567457123111,AMD Processor,1000,256
272,Dell,Notebook,8,AMD,No OS/Linux/Chrome/Android,2.14,39164.5296,0,0,141.21199808219862,Intel Core i7,0,256
273,Lenovo,2 in 1 Convertible,16,Intel,Windows,1.36,133146.72,1,0,209.8006828649808,Intel Core i7,0,512
274,Toshiba,Notebook,8,Nvidia,Windows,2.2,43263.36,0,0,100.45466986113651,Intel Core i7,500,0
275,Dell,Notebook,12,Intel,Windows,2.3,37992.3696,0,0,100.45466986113651,Intel Core i7,1000,0
276,Dell,Notebook,8,AMD,No OS/Linux/Chrome/Android,2.8,58554.72,0,0,127.33567457123111,Intel Core i7,1000,128
277,Acer,Notebook,8,Nvidia,Windows,2.2,39693.6,0,1,141.21199808219862,Intel Core i7,1000,0
278,Lenovo,Notebook,4,Intel,Windows,2.8,26053.92,0,0,106.11306214269258,Intel Core i3,1000,0
279,Lenovo,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.8,45234.72,0,0,127.33567457123111,Intel Core i7,2000,0
280,Lenovo,Notebook,6,Nvidia,Windows,2.8,45767.52,0,0,106.11306214269258,Intel Core i7,1000,128
281,Dell,Notebook,4,AMD,No OS/Linux/Chrome/Android,2.25,22803.84,0,0,141.21199808219862,Intel Core i3,1000,0
282,Lenovo,Gaming,8,Nvidia,Windows,2.5,44169.12,0,1,141.21199808219862,Intel Core i5,0,256
283,Lenovo,Notebook,6,Intel,Windows,2.2,30849.12,0,0,141.21199808219862,Intel Core i5,0,256
284,Acer,Notebook,8,Nvidia,Windows,3.0,50669.28,0,1,141.21199808219862,Intel Core i7,0,256
285,Acer,Notebook,12,Intel,Windows,2.15,35111.52,1,1,141.21199808219862,Intel Core i7,1000,0
286,Lenovo,Notebook,8,Intel,Windows,1.95,58448.16,0,1,141.21199808219862,Intel Core i7,0,256
287,Asus,Ultrabook,8,Nvidia,Windows,1.7,52054.56,0,0,141.21199808219862,Intel Core i5,0,256
288,Lenovo,Gaming,16,Nvidia,Windows,2.5,62817.12,0,1,141.21199808219862,Intel Core i7,1000,256
289,Lenovo,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.2,35112.0528,0,0,141.21199808219862,Intel Core i7,1000,0
290,Acer,Notebook,2,Intel,No OS/Linux/Chrome/Android,2.19,10602.72,0,0,100.45466986113651,Other Intel Processor,0,16
291,Asus,Gaming,8,Nvidia,Windows,3.0,63243.36,0,0,127.33567457123111,Intel Core i7,1000,0
292,HP,Notebook,8,Intel,Windows,2.54,26053.92,0,0,106.11306214269258,Intel Core i3,1000,0
293,Dell,Notebook,8,Nvidia,Windows,2.0,97449.12,0,0,141.21199808219862,Intel Core i7,0,256
294,Lenovo,Notebook,8,Intel,Windows,2.05,39373.92,0,0,141.21199808219862,Intel Core i5,0,256
295,Lenovo,Gaming,8,Nvidia,Windows,3.2,69210.72,0,1,141.21199808219862,Intel Core i7,1000,0
296,Acer,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.5,52161.12,0,0,141.21199808219862,Intel Core i7,0,256
297,Dell,Workstation,16,Nvidia,Windows,3.42,153705.3408,0,0,127.33567457123111,Intel Core i7,0,256
298,Lenovo,Notebook,6,AMD,Windows,2.4,26586.72,0,0,141.21199808219862,AMD Processor,1000,0
299,Asus,Ultrabook,16,Nvidia,Windows,1.63,78215.04,0,0,141.21199808219862,Intel Core i7,0,512
